sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	meta_source	parsed_date	errors
Angophora_floribunda_ANU_Banks_Building	Angophora floribunda						ANU Banks Building					dp15		no_latlong
CCA0003	Eucalyptus mannensis subsp. mannensis							Dean Nicolle				dp15		no_latlong
CCA0016	Eucalyptus socialis subsp. victoriensis		-29.36972222	130.0491667	242	WGS84	West of Vokes Hill to Cook Road	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0037	Eucalyptus ebbanoensis subsp. ebbanoensis		-30.83027778	116.6391667	320	WGS84	WA	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0038	Eucalyptus ebbanoensis subsp. ebbanoensis		-30.83027778	116.6391667	320	WGS84	WA	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0124	Eucalyptus angustissima		-33.04611111	121.1722222	215	WGS84	Upper Lort River , north-west of Esperance, Western Australia.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0137	Eucalyptus bicostata		-38.41666667	143.9333333	364	WGS84	Otway Ranges, east or Deanes Marsh, Vic.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0164	Eucalyptus brunnea		-28.8825	151.9658333	1080	WGS84	Girraween National Park, Qld.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0175	Eucalyptus brockwayi		-32.13666667	121.6941667	320	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0218	Eucalyptus stellulata		-37.01305556	147.5691667	735	WGS84	Vic.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0248	Eucalyptus micranthera		-33.81388889	122.48	71	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0266	Eucalyptus delicata		-33.05583333	121.1741667	237	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0278	Eucalyptus kochii subsp. kochii		-30.28388889	116.8730556	314	WGS84	East of Dalwallinu, Western Australia.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0375	Eucalyptus decipiens		-34.65555556	117.9558333	174	WGS84	Chester Pass Rd, between Porongurups Ranges and Kamballup	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0390	Eucalyptus recta		-30.77833333	117.1733333	372	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0405	Eucalyptus eudesmioides		-29.67722222	116.3905556	296	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0431	Eucalyptus optima		-32.29277778	123.4972222	212	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0455	Eucalyptus ornata		-32.45083333	118.3494444	362	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0465	Eucalyptus polybractea							Dean Nicolle				dp15		no_latlong
CCA0466	Eucalyptus polybractea							Dean Nicolle				dp15		no_latlong
CCA0478	Eucalyptus flindersii						Devils Peak, SA	Dean Nicolle				dp15		no_latlong
CCA0499	Eucalyptus lucasii		-26.59111111	120.1163889			Wiluna, WA	Dean Nicolle				dp15		
CCA0525	Eucalyptus porosa		-32.98583333	135.5469444	192	WGS84	West side of base of Mt. Wudinna, South Australia	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0572	Eucalyptus sparsa		-27.00944444	132.5155556	567	WGS84	200 m west of Ronalds Well, Everard Ranges, South Australia.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0572_rep1	Eucalyptus sparsa		-27.00944444	132.5155556			Everard Ranges, SA	Dean Nicolle				dp15		
CCA0572_rep2	Eucalyptus sparsa		-27.00944444	132.5155556			Everard Ranges, SA	Dean Nicolle				dp15		
CCA0575	Eucalyptus salmonophloia		-30.81055556	122.8333333	386	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0615	Eucalyptus cneorifolia		-35.56666667	138.5333333	214	WGS84	Wilson Hill 10 km, west Victor Harbour, South Australia	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0650	Eucalyptus intertexta		-27.03888889	132.5486111	541	WGS84	Base of Mount Barnett, Everard Ranges, SA	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0651	Eucalyptus intertexta		-27.03888889	132.5486111			Everard Ranges, SA	Dean Nicolle				dp15		
CCA0671	Eucalyptus botryoides							Dean Nicolle				dp15		no_latlong
CCA0672	Eucalyptus polyanthemos subsp. polyanthemos		-32.69361111	150.0027778	717	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0677	Eucalyptus conica		-32.40388889	150.2222222	255	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0681	Eucalyptus bridgesiana		-31.74472222	149.9527778	930	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0684	Eucalyptus macrorhyncha subsp. macrorhyncha		-33.92277778	148.4136111	499	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0687	Eucalyptus dawsonii		-32.60861111	150.0747222	403	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0691	Eucalyptus largiflorens							Dean Nicolle				dp15		no_latlong
CCA0695	Eucalyptus longifolia							Dean Nicolle				dp15		no_latlong
CCA0700	Eucalyptus gomphocephala							Dean Nicolle				dp15		no_latlong
CCA0704	Eucalyptus melliodora		-32.71222222	149.9661111	640	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0704-rep1	Eucalyptus melliodora	29-12-19	-32.71222222	149.9661111	640	WGS84	NSW	Dean Nicolle			Tree 15m tall. Bark rough and variably patchy, yellow brown over cream. Leaves dull blue green. Growing with E. blakelyi on undulating area. Dubbo.; elevation computed from api.geonames.org/astergdem	dp15	-41-12-18	
