sample	project	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	percent_dieback	seed_amount
Acacia_acuminata_ANBG	AcaciaPan													
Acacia_dealbata	AcaciaPan													
Acacia_melanoxylon	AcaciaPan													
FDK10	DP15	Eucalyptus microcarpa	2013-10-31	-36.33119	145.70688	153	WGS84	Dookie (private property)				elevation computed from api.geonames.org/astergdem		
Gund15	DP15	Eucalyptus albens x sideroxylon	2014-05-29	-34.9825439	148.1257061	253	WGS84	Leonard's Road, Coolac (private property)				white box x red ironbark?; elevation computed from api.geonames.org/astergdem		
Gund16	DP15	Eucalyptus melliodora x sideroxylon	2014-05-29	-34.9827278	148.1252347	259	WGS84	Leonard's Road, Coolac (private property)				elevation computed from api.geonames.org/astergdem		
Gund21	DP15	Eucalyptus melliodora x sideroxylon	2014-05-29	-34.983237	148.1231707	279	WGS84	Leonard's Road, Coolac (private property)				elevation computed from api.geonames.org/astergdem		
Gund22	DP15	Eucalyptus melliodora x sideroxylon	2014-05-29	-34.9833516	148.1233104	281	WGS84	Leonard's Road, Coolac (private property)				elevation computed from api.geonames.org/astergdem		
Gund23	DP15	Eucalyptus melliodora x sideroxylon	2014-05-29	-34.9836107	148.123122	285	WGS84	Leonard's Road, Coolac (private property)				elevation computed from api.geonames.org/astergdem		
Gund24	DP15	Eucalyptus melliodora x sideroxylon	2014-05-29	-34.9846811	148.123596	275	WGS84	Leonard's Road, Coolac (private property)				elevation computed from api.geonames.org/astergdem		
Gund26	DP15	Eucalyptus melliodora x sideroxylon	2014-05-29	-34.9843414	148.123989	268	WGS84	Leonard's Road, Coolac (private property)				elevation computed from api.geonames.org/astergdem		
J294	DP15	Eucalyptus albens	2015-09-29	-30.8942	150.66708	430	WGS84	Keepit, Old Menedebri Rd				elevation computed from api.geonames.org/astergdem		
J296	DP15	Eucalyptus melliodora	2015-09-29	-30.65167	150.87812	408	WGS84	Namoi River, Dunmore Rd				elevation computed from api.geonames.org/astergdem		
J298	DP15	Eucalyptus sideroxylon	2015-09-29	-30.15277	151.07437	681	WGS84	Bundarra, Thunderbolts Way				elevation computed from api.geonames.org/astergdem		
J301	DP15	Eucalyptus sideroxylon	2015-09-30	-29.80812	150.91918	670	WGS84	Gum Flat, Copeton Dam Rd				elevation computed from api.geonames.org/astergdem		
J303	DP15	Eucalyptus albens	2015-09-30	-30.14391	150.05293	487	WGS84	Sawn Rocks, Kilarney Gap Rd				elevation computed from api.geonames.org/astergdem		
J307	DP15	Eucalyptus crebra	2015-09-30	-30.22665	149.8094	234	WGS84	Narrabri, Newell Hwy				elevation computed from api.geonames.org/astergdem		
J310	DP15	Eucalyptus populnea	2015-09-30	-30.22025	149.83597	247	WGS84	Narrabri, Killarney Forest				elevation computed from api.geonames.org/astergdem		
J311	DP15	Eucalyptus fibrosa	2015-09-30	-30.60224	149.58173	270	WGS84	Pilliga, Newell Hwy				elevation computed from api.geonames.org/astergdem		
J315	DP15	Eucalyptus fibrosa	2015-09-30	-30.92855	149.36347	423	WGS84	Pilliga, no 1 break rd				elevation computed from api.geonames.org/astergdem		
J316	DP15	Eucalyptus crebra	2015-09-30	-30.92855	149.36347	423	WGS84	Pilliga, no 1 break rd				elevation computed from api.geonames.org/astergdem		
J317	DP15	Eucalyptus crebra	2015-09-30	-30.14459	150.0534	492	WGS84	Sawn Rocks, parking lot				elevation computed from api.geonames.org/astergdem		
J318	DP15	Eucalyptus melliodora	2015-10-11	-31.37365	151.13779	526	WGS84	Chaffey Dam, Tamworth Nundle Rd				elevation computed from api.geonames.org/astergdem		
J319	DP15	Eucalyptus melliodora	2015-10-11	-31.55948	151.05664	744	WGS84	Nundle, Crawney Rd				elevation computed from api.geonames.org/astergdem		
J320	DP15	Eucalyptus moluccana	2015-10-11	-31.72257	151.10243	474	WGS84	Timor, Crawney Rd				elevation computed from api.geonames.org/astergdem		
J321g	DP15	Eucalyptus crebra	2015-10-12	-32.75326	151.25224	112	WGS84	Polkobin, Broke Rd				elevation computed from api.geonames.org/astergdem		
J322	DP15	Eucalyptus fibrosa	2015-10-12	-32.75342	151.25269	110	WGS84	Polkobin, Broke Rd				elevation computed from api.geonames.org/astergdem		
J324	DP15	Eucalyptus conica	2015-10-12	-32.44442	150.2812	194	WGS84	Wollomi NP, Bylong Valley Way				elevation computed from api.geonames.org/astergdem		
J326	DP15	Eucalyptus moluccana	2015-11-03	-28.21744	152.84309	94	WGS84	Rathdowney, Boonah Rathdowney Rd				elevation computed from api.geonames.org/astergdem		
J327	DP15	Eucalyptus crebra	2015-11-03	-28.45172	152.3925	525	WGS84	Koreelah, Tooloom Rd				elevation computed from api.geonames.org/astergdem		
J328	DP15	Eucalyptus moluccana	2015-11-03	-28.43038	152.35915	482	WGS84	Legume, Mt Lindsay Rd				elevation computed from api.geonames.org/astergdem		
J329	DP15	Eucalyptus conica	2015-11-03	-28.41028	152.29292	555	WGS84	Legume, Mt Lindsay Rd				elevation computed from api.geonames.org/astergdem		
J330	DP15	Eucalyptus fibrosa	2015-11-04	-28.19138	151.61853	521	WGS84	Karara, Cunningham Hwy				elevation computed from api.geonames.org/astergdem		
J331	DP15	Eucalyptus crebra	2015-11-04	-28.29549	151.48801	497	WGS84	Gore, Cunningham Hwy				elevation computed from api.geonames.org/astergdem		
J333	DP15	Eucalyptus caleyi	2015-11-04	-28.52431	151.10556	339	WGS84	Inglewood, Inglewood Texas Rd				elevation computed from api.geonames.org/astergdem		
J333a	DP15	Eucalyptus caleyi	2015-11-04	-28.52431	151.10556	339	WGS84	Inglewood, Inglewood Texas Rd				elevation computed from api.geonames.org/astergdem		
J334	DP15	Eucalyptus moluccana	2015-11-04	-28.53696	151.10815	325	WGS84	Inglewood, Inglewood Texas Rd				elevation computed from api.geonames.org/astergdem		
J335	DP15	Eucalyptus microcarpa	2015-11-04	-28.89198	151.14803	297	WGS84	Texas, Texas Bridge Road				elevation computed from api.geonames.org/astergdem		
J338	DP15	Eucalyptus conica	2015-11-05	-29.15425	152.00211	859	WGS84	Tenterfield, Bluff rock lookout				elevation computed from api.geonames.org/astergdem		
J339	DP15	Eucalyptus moluccana	2015-11-05	-29.45636	151.55505	871	WGS84	Emmaville, Strathbogie Rd				elevation computed from api.geonames.org/astergdem		
J340	DP15	Eucalyptus melliodora	2015-11-05	-29.45577	151.55405	876	WGS84	Emmaville, Strathbogie Rd				elevation computed from api.geonames.org/astergdem		
J341	DP15	Eucalyptus albens	2015-11-05	-29.40223	151.41655	774	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J342	DP15	Eucalyptus sideroxylon	2015-11-05	-29.39087	151.39279	732	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J343	DP15	Eucalyptus crebra	2015-11-05	-29.35816	151.30991	626	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J344	DP15	Eucalyptus polyanthemos	2015-11-19	-35.33962	148.91113000000001	630	WGS84	Pierces Creek State Forest, Vanitys Crossing				elevation computed from api.geonames.org/astergdem		
J345	DP15	Eucalyptus albens	2015-11-20	-35.07022	148.83685	493	WGS84	Mullion, Mountain Creek Rd.				elevation computed from api.geonames.org/astergdem		
J346	DP15	Eucalyptus melliodora	2015-11-20	-35.06954	148.83661	501	WGS84	Mullion, Mountain Creek Rd.				elevation computed from api.geonames.org/astergdem		
J347	DP15	Eucalyptus polyanthemos	2015-11-20	-35.09381	148.74881	731	WGS84	Wee Jasper, Doctors Flat Rd.				elevation computed from api.geonames.org/astergdem		
J348	DP15	Eucalyptus polyanthemos	2015-11-20	-35.24184	148.29729	435	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J349	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J350	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J351	DP15	Eucalyptus polyanthemos	2015-11-20	-35.25609	147.68506	296	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J353	DP15	Eucalyptus polyanthemos	2015-11-20	-35.8453	147.19722	330	WGS84	Blue Metal Rest Area, M31				elevation computed from api.geonames.org/astergdem		
J354	DP15	Eucalyptus moluccana	2015-11-20	-35.84469	147.19794	332	WGS84	Blue Metal Rest Area, M31				elevation computed from api.geonames.org/astergdem		
J355	DP15	Eucalyptus sideroxylon	2015-11-21	-36.09264	146.61917	180	WGS84	Chiltern, Chiltern-Howlong Rd.				elevation computed from api.geonames.org/astergdem		
J355b	DP15	Eucalyptus sideroxylonXmicrocarpa	2015-11-21	-36.08961	146.62105	176	WGS84	Chiltern, Chiltern-Howlong Rd.				elevation computed from api.geonames.org/astergdem		
J357	DP15	Eucalyptus melliodora	2015-11-21	-36.019	146.29446	131	WGS84	Collendina State Forest, Spring Dr.				elevation computed from api.geonames.org/astergdem		
J358	DP15	Eucalyptus melliodora	2015-11-21	-35.38973	146.35303	124	WGS84	Urana, Walbundrie Rd.				elevation computed from api.geonames.org/astergdem		
J359	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J360	DP15	Eucalyptus conica	2015-11-21	-34.01205	148.12904	309	WGS84	Orange, Old Forbes Rd.				elevation computed from api.geonames.org/astergdem		
J361	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J362	DP15	Eucalyptus sideroxylon	2015-11-22	-33.42108	148.51126	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J363	DP15	Eucalyptus microcarpa	2015-11-22	-33.41328	148.22136	261	WGS84	Eugowra, Escort Way				elevation computed from api.geonames.org/astergdem		
J364	DP15	Eucalyptus conica	2015-11-22	-33.41328	148.22136	261	WGS84	Eugowra, Escort Way				elevation computed from api.geonames.org/astergdem		
J365	DP15	Eucalyptus melliodora	2015-11-22	-33.31832	148.97163	876	WGS84	Glenwood State Forest, Cargo Rd.				elevation computed from api.geonames.org/astergdem		
J366	DP15	Eucalyptus fibrosa	2015-11-22	-33.12436	150.01617	729	WGS84	Gardens of Stone Natl Park, Glen Davis Rd.				elevation computed from api.geonames.org/astergdem		
