sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	parsed_date	errors	meta_source	n	has_meta	fq	run	fname	read
AY_01			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_01_S1_L002_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_01_S1_L002	read2_uri
AY_01			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_01_S1_L001_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_01_S1_L001	read1_uri
AY_01			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_01_S1_L001_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_01_S1_L001	read2_uri
AY_01			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_01_S1_L002_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_01_S1_L002	read1_uri
AY_02			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_02_S2_L002_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_02_S2_L002	read1_uri
AY_02			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_02_S2_L001_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_02_S2_L001	read2_uri
AY_02			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_02_S2_L001_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_02_S2_L001	read1_uri
AY_02			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_02_S2_L002_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_02_S2_L002	read2_uri
AY_03			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_03_S3_L002_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_03_S3_L002	read2_uri
AY_03			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_03_S3_L001_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_03_S3_L001	read2_uri
AY_03			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_03_S3_L002_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_03_S3_L002	read1_uri
AY_03			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_03_S3_L001_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_03_S3_L001	read1_uri
AY_04			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_04_S4_L001_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_04_S4_L001	read1_uri
AY_04			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_04_S4_L001_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_04_S4_L001	read2_uri
AY_04			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_04_S4_L002_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_04_S4_L002	read2_uri
AY_04			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_04_S4_L002_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_04_S4_L002	read1_uri
AY_05			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_05_S5_L001_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_05_S5_L001	read1_uri
AY_05			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_05_S5_L001_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_05_S5_L001	read2_uri
AY_05			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_05_S5_L002_R1_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_05_S5_L002	read1_uri
AY_05			-36.1	146.883333	0		Albury						no_species	RRG	1	TRUE	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_05_S5_L002_R2_001.fastq.gz	2024_brf-euc-novaseq-x-flowcells	AY_05_S5_L002	read2_uri
