file	seqproject	lanedir	library	sid	lane	read
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA114c_S159_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA114c	S159	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA76_S177_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA76	S177	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA117a_S230_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA117a	S230	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA147x_S198_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA147x	S198	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA145b_S172_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA145b	S172	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA130c_S190_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA130c	S190	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA137c_S235_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA137c	S235	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA117a_S230_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA117a	S230	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA146c_S214_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA146c	S214	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA121_S146_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA121	S146	L003_	read1
