"","species_group","sample","species.x","NoOut","Section_Vlook","Section_edit","Subsp.","samp_prefix","Maid_rl2s","tag","date","parsed_date","latitude","longitude","jit_latitude","jit_longitude","elevation.x","datum","location","region","collectors","samplename","population","seed","notes","group","nearest_neighbor_distance","elevation.y","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","species.y","spp_loc","spp_reg","Putative","spp.cross","putative.spp_loc","dsuite_loc_putative","dsuite_loc","dsuite_reg","dsuite_tree","dsuite_loc_num","RM_nonlarge_samp"
"1","Eucalyptus bicostata_5","CCA0137","Eucalyptus bicostata","xxx","Maidenaria","Maidenaria","","","CCA0137","CCA0137","","",-38.41666667,143.9333333,-38.41666667,143.9333333,364,"WGS84","Otway Ranges, east or Deanes Marsh, Vic.","","Dean Nicolle","",NA,NA,"elevation computed from api.geonames.org/astergdem",5,31348.21389,303,12.27916718,16.36666679,8.449999809,1038,115,43,28.10211945,340,165,165,330,7.341666698,44.76625824,317.0493164,21.70000076,5.300000191,16.40000153,8.75,16.36666679,"bicostata","Outgroup","Outgroup","bicostata","bicostata","Outgroup","xxx","xxx","xxx","bico_1","Outgroup_1","xxx"
"2","Eucalyptus bridgesiana_176","CCA0681","Eucalyptus bridgesiana","xxx","Maidenaria","Maidenaria","","","CCA0681","CCA0681","","",-31.74472222,149.9527778,-31.74472222,149.9527778,930,"WGS84","NSW","","Dean Nicolle","",NA,NA,"elevation computed from api.geonames.org/astergdem",176,23994.15321,1068,13.66666698,20.25,6.916666508,847,114,51,23.02759743,272,170,266,188,12.21666718,46.1006279,537.5167236,27.60000038,1.100000024,26.5,18.96666718,10.53333378,"bridgesiana","Outgroup","Outgroup","bridgesiana","bridgesiana","Outgroup","xxx","xxx","xxx","brid_3","Outgroup_3","xxx"
"3","Eucalyptus brunnea_204","CCA0164","Eucalyptus brunnea","xxx","Maidenaria","Maidenaria","","","CCA0164","CCA0164","","",-28.8825,151.9658333,-28.8825,151.9658333,1080,"WGS84","Girraween National Park, Qld.","","Dean Nicolle","",NA,NA,"elevation computed from api.geonames.org/astergdem",204,3603.008323,903,13.8083334,19.14999962,7.783333302,900,116,43,34.89831161,335,146,335,146,10.33333302,45.72271729,460.1029053,24.79999924,2.200000048,22.59999847,19.14999962,7.783333302,"brunnea","Outgroup","Outgroup","brunnea","brunnea","Outgroup","xxx","xxx","xxx","run_2","Outgroup_2","xxx"
"4","Eucalyptus canobolensis_100","DDA123e","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA123e","novaseq_DDA123e","3/11/2019 0:00","3/11/2019 11:00",-33.35988889,148.9730278,-33.33911422,149.0061947,NA,"","c. 350m west from Mt Towac track, Mt Canobolas.","CT","D.D. Andrew R.L. Andrew, J.J. Bruhl, R.W. Medd","NE 109671",NA,NA,"",100,0.346060466,1126,11.3166666,17.64999962,4.950000286,1002,108,57,19.06557846,304,194,252,288,9.899999619,41.77215195,513.947876,24.29999924,0.600000024,23.69999886,5.766666889,15.23333359,"canobolensis","canobo_CAN2","canobo_ORA","canobolensis","canobolensis","canobo_CAN2","canobo_CAN2","canobo_CAN2","canobo_ORA","canobo_ORA_58","can_CAN2_58","canobo_CAN2"
"5","Eucalyptus canobolensis_104","DDA123j","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA123j","novaseq_DDA123j","3/11/2019 0:00","3/11/2019 11:00",-33.35988889,148.9730278,-33.33910361,149.006195,NA,"","c. 350m west from Mt Towac track, Mt Canobolas.","CT","D.D. Andrew R.L. Andrew, J.J. Bruhl, R.W. Medd","NE 109671",NA,NA,"",104,0.722901023,1186,11.3166666,17.64999962,4.950000286,1002,108,57,19.06557846,304,194,252,288,9.899999619,41.77215195,513.947876,24.29999924,0.600000024,23.69999886,5.766666889,15.23333359,"canobolensis","canobo_CAN2","canobo_ORA","canobolensis","canobolensis","canobo_CAN2","canobo_CAN2","canobo_CAN2","canobo_ORA","canobo_ORA_60","can_CAN2_60","canobo_CAN2"
"6","Eucalyptus canobolensis_106","DDA129","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA129","novaseq_DDA129","4/11/2019 0:00","4/11/2019 11:00",-33.33897222,149.0060556,-33.33897222,149.0060556,NA,"","Junction of Fern gully road, Devils hole fire trail and Summit road. Mt Canobolas.","CT","D.D. Andrew R.W. Medd, R.L. Andrew, J.J. Bruhl","NE 109677",NA,NA,"",106,0.271795973,837,11.3166666,17.64999962,4.950000286,1002,108,57,19.06557846,304,194,252,288,9.899999619,41.77215195,513.947876,24.29999924,0.600000024,23.69999886,5.766666889,15.23333359,"canobolensis","canobo_CAN5","canobo_ORA","canobolensis","canobolensis","canobo_CAN5","canobo_CAN5","canobo_CAN5","canobo_ORA","canobo_ORA_84","can_CAN5_84","canobo_CAN5"
"7","Eucalyptus canobolensis_107","DDA123b","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA123b","novaseq_DDA123b","3/11/2019 0:00","3/11/2019 11:00",-33.35988889,148.9730278,-33.33896995,149.0060567,NA,"","c. 350m west from Mt Towac track, Mt Canobolas.","CT","D.D. Andrew R.L. Andrew, J.J. Bruhl, R.W. Medd","NE 109671",NA,NA,"",107,0.271795973,1126,11.3166666,17.64999962,4.950000286,1002,108,57,19.06557846,304,194,252,288,9.899999619,41.77215195,513.947876,24.29999924,0.600000024,23.69999886,5.766666889,15.23333359,"canobolensis","canobo_CAN2","canobo_ORA","canobolensis","canobolensis","canobo_CAN2","canobo_CAN2","canobo_CAN2","canobo_ORA","canobo_ORA_56","can_CAN2_56","canobo_CAN2"
"8","Eucalyptus canobolensis_108","DDA123d","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA123d","novaseq_DDA123d","3/11/2019 0:00","3/11/2019 11:00",-33.35988889,148.9730278,-33.3389699,149.0060523,NA,"","c. 350m west from Mt Towac track, Mt Canobolas.","CT","D.D. Andrew R.L. Andrew, J.J. Bruhl, R.W. Medd","NE 109671",NA,NA,"",108,0.400734601,1126,11.3166666,17.64999962,4.950000286,1002,108,57,19.06557846,304,194,252,288,9.899999619,41.77215195,513.947876,24.29999924,0.600000024,23.69999886,5.766666889,15.23333359,"canobolensis","canobo_CAN2","canobo_ORA","canobolensis","canobolensis","canobo_CAN2","canobo_CAN2","canobo_CAN2","canobo_ORA","canobo_ORA_57","can_CAN2_57","canobo_CAN2"
"9","Eucalyptus canobolensis_114","DDA131","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA131","novaseq_DDA131","4/11/2019 0:00","4/11/2019 11:00",-33.33813889,148.9769722,-33.33813889,148.9769722,NA,"","Junction of Summit road and Mitchell's way, Mt Canobolas.","CT","D.D. Andrew R.L. Andrew, R.W. Medd, J.J. Bruhl","NE 109679",NA,NA,"",114,0.404442217,916,10.78333282,17.10000038,4.433333397,1049,113,60,19.11162949,322,202,257,305,9.399999619,40.51723862,513.3948364,23.60000038,0.400000006,23.20000076,5.183333397,14.75,"canobolensis","canobo_CAN6","canobo_ORA","canobolensis","canobolensis","canobo_CAN6","canobo_CAN6","canobo_CAN6","canobo_ORA","canobo_ORA_96","can_CAN6_96","canobo_CAN6"
"10","Eucalyptus canobolensis_127","DDA147","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA147","novaseq_DDA147","5/11/2019 0:00","5/11/2019 11:00",-33.32836111,149.0833333,-33.32836111,149.0833333,NA,"","Gosling creek reserve, Orange.","CT","D.D. Andrew R.W. Medd, J.J. Bruhl, R.L. Andrew","NE 109695",NA,NA,"",127,0.503258859,727,12.16250038,18.70000076,5.666666508,949,102,55,18.76042175,285,186,244,270,11.1916666,44.06167984,526.3256836,26,0.600000024,25.39999962,6.550000191,12.69999981,"canobolensis","canobo_GOS","canobo_ORA","canobolensis","canobolensis","canobo_GOS","canobo_GOS","canobo_GOS","canobo_ORA","canobo_ORA_157","can_GOS_157","canobo_GOS"
