run	library	sample	include	project	date
2020_Borevitz_UWA_S4	A_acuminata_ANBG_1	Acacia_acuminata_ANBG	Y	AcaciaPan	2020-01
2020_Borevitz_UWA_S4	A_acuminata_ANBG_2	Acacia_acuminata_ANBG	Y	AcaciaPan	2020-01
2020_Borevitz_UWA_S4	A_dealbata_1	Acacia_dealbata	Y	AcaciaPan	2020-01
2020_Borevitz_UWA_S4	A_dealbata_2	Acacia_dealbata	Y	AcaciaPan	2020-01
2020_Borevitz_UWA_S4	A_melanoxylon_1	Acacia_melanoxylon	Y	AcaciaPan	2020-01
2020_Borevitz_UWA_S4	A_melanoxylon_2	Acacia_melanoxylon	Y	AcaciaPan	2020-01
2020_Borevitz_UWA_S4	FDK10	FDK10	Y	DP15	2020-01
2020_Borevitz_UWA_S4	Gund15	Gund15	Y	DP15	2020-01
2020_Borevitz_UWA_S4	Gund16	Gund16	Y	DP15	2020-01
2020_Borevitz_UWA_S4	Gund21	Gund21	Y	DP15	2020-01
2020_Borevitz_UWA_S4	Gund22	Gund22	Y	DP15	2020-01
2020_Borevitz_UWA_S4	Gund23	Gund23	Y	DP15	2020-01
2020_Borevitz_UWA_S4	Gund24	Gund24	Y	DP15	2020-01
2020_Borevitz_UWA_S4	Gund26	Gund26	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J294	J294	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J296	J296	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J298	J298	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J301	J301	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J303	J303	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J307	J307	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J310	J310	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J311	J311	Y	DP15	2020-01
2020_Borevitz_UWA_S4	j315	J315	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J316	J316	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J317	J317	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J318	J318	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J319	J319	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J320	J320	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J321g	J321g	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J322	J322	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J324	J324	Y	DP15	2020-01
