sample	species	date	parsed_date	latitude	longitude	elevation	datum	location	collectors	samplename	population	seed	notes
FDK10	Eucalyptus microcarpa	2013-10-31T00:00:00Z	2013-10-31T00:00:00Z	-36.33119	145.70688	153	WGS84	Dookie (private property)					elevation computed from api.geonames.org/astergdem
Gund15	Eucalyptus albens x sideroxylon	2014-05-29T03:28:41Z	2014-05-29T03:28:41Z	-34.9825439	148.1257061	253	WGS84	"Leonard's Road, Coolac (private property)"					white box x red ironbark?; elevation computed from api.geonames.org/astergdem
Gund16	Eucalyptus melliodora x sideroxylon	2014-05-29T03:28:41Z	2014-05-29T03:28:41Z	-34.9827278	148.1252347	259	WGS84	"Leonard's Road, Coolac (private property)"					elevation computed from api.geonames.org/astergdem
Gund21	Eucalyptus melliodora x sideroxylon	2014-05-29T03:28:41Z	2014-05-29T03:28:41Z	-34.983237	148.1231707	279	WGS84	"Leonard's Road, Coolac (private property)"					elevation computed from api.geonames.org/astergdem
Gund22	Eucalyptus melliodora x sideroxylon	2014-05-29T03:28:41Z	2014-05-29T03:28:41Z	-34.9833516	148.1233104	281	WGS84	"Leonard's Road, Coolac (private property)"					elevation computed from api.geonames.org/astergdem
Gund23	Eucalyptus melliodora x sideroxylon	2014-05-29T03:28:41Z	2014-05-29T03:28:41Z	-34.9836107	148.123122	285	WGS84	"Leonard's Road, Coolac (private property)"					elevation computed from api.geonames.org/astergdem
Gund24	Eucalyptus melliodora x sideroxylon	2014-05-29T03:28:41Z	2014-05-29T03:28:41Z	-34.9846811	148.123596	275	WGS84	"Leonard's Road, Coolac (private property)"					elevation computed from api.geonames.org/astergdem
Gund26	Eucalyptus melliodora x sideroxylon	2014-05-29T03:28:41Z	2014-05-29T03:28:41Z	-34.9843414	148.123989	268	WGS84	"Leonard's Road, Coolac (private property)"					elevation computed from api.geonames.org/astergdem
J294	Eucalyptus albens	2015-09-29T00:00:00Z	2015-09-29T00:00:00Z	-30.8942	150.66708	430	WGS84	"Keepit, Old Menedebri Rd"					elevation computed from api.geonames.org/astergdem
J296	Eucalyptus melliodora	2015-09-29T00:00:00Z	2015-09-29T00:00:00Z	-30.65167	150.87812	408	WGS84	"Namoi River, Dunmore Rd"					elevation computed from api.geonames.org/astergdem
J298	Eucalyptus sideroxylon	2015-09-29T00:00:00Z	2015-09-29T00:00:00Z	-30.15277	151.07437	681	WGS84	"Bundarra, Thunderbolts Way"					elevation computed from api.geonames.org/astergdem
J301	Eucalyptus sideroxylon	2015-09-30T00:00:00Z	2015-09-30T00:00:00Z	-29.80812	150.91918	670	WGS84	"Gum Flat, Copeton Dam Rd"					elevation computed from api.geonames.org/astergdem
J303	Eucalyptus albens	2015-09-30T00:00:00Z	2015-09-30T00:00:00Z	-30.14391	150.05293	487	WGS84	"Sawn Rocks, Kilarney Gap Rd"					elevation computed from api.geonames.org/astergdem
J307	Eucalyptus crebra	2015-09-30T00:00:00Z	2015-09-30T00:00:00Z	-30.22665	149.8094	234	WGS84	"Narrabri, Newell Hwy"					elevation computed from api.geonames.org/astergdem
J310	Eucalyptus populnea	2015-09-30T00:00:00Z	2015-09-30T00:00:00Z	-30.22025	149.83597	247	WGS84	"Narrabri, Killarney Forest"					elevation computed from api.geonames.org/astergdem
