sname	fname
EmelCSIRO	Csiro_Melliodora
EmelCSIRO	E_melliodora_Csiro
J295	J295-rep
J295	J295rep
J315	j315
J333	J333_plus
J333	J333-plus-NextRAD
J333	J333-plus-WGS
J342a	J342a-rep
J342a	J342arep
J345	J345_plus
J345	J345-plus-NextRAD
J345	J345-plus-WGS
J351	J351_plus
J351	J351-plus-NextRAD
J351	J351-plus-WGS
J363	J363_plus
J363	J363-plus-NextRAD
J363	J363-plus-WGS
J366	J366_plus
J366	J366-plus-NextRAD
J366	J366-plus-WGS
J375	J375-rep1
J375	J375rep1
J376a	J376a-rep
J376a	J376arep
J377e	J377e-rep
J377e	J377erep
J382a	J382A
J385	J385-rep
J385	J385rep
J388f	J388F
J390a	J390a-rep
J390a	J390arep
J395a	J395A
J395a	J395a-rep
J395a	J395A-rep
J395b	J395B
J395c	J395C
J395d	J395D
J395e	J395E
J395h	J395H
J422e	J422e-rep
J422e	J422erep
J430a	J430a-rep
J430a	J430arep
J436c	J436c-rep
J436c	J436crep
MelMosaic	M1c
MelMosaic	M2a
MelMosaic	M2b
J362_young	J362_young
J362_young	J362-young-NextRAD
J362_young	J362-young-WGS
