library	sample	read1	read2	interleaved
Eucalyptus_viminalis_Tasmanian_Herbarium_1	Eucalyptus_viminalis_Tasmanian_Herbarium			/g/data/xe2/datasets/2020_uwa-s4-runs/2020-S4-BVZ/Eucalyptus_viminalis_Tasmanian_Herbarium_1_S32_L002_001.fastq.gz
Eucalyptus_viminalis_Tasmanian_Herbarium_2	Eucalyptus_viminalis_Tasmanian_Herbarium			/g/data/xe2/datasets/2020_uwa-s4-runs/2020-S4-BVZ/Eucalyptus_viminalis_Tasmanian_Herbarium_2_S33_L002_001.fastq.gz
NCT	NCT	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_phyloGWAS_APF_gDNA/NCT_S97_L002_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_phyloGWAS_APF_gDNA/NCT_S97_L002_R2_001.fastq.gz	
NCT	NCT	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN01/NCT_S1_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN01/NCT_S1_R2_001.fastq.gz	
NCT	NCT	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT/NCT_DKDL202006107-1a-AK9781-AK32_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT/NCT_DKDL202006107-1a-AK9781-AK32_HJVFCDSXY_L1_2.fq.gz	
NCT	NCT	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT/NCT_DKDL202006107-1a-AK9781-AK32_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT/NCT_DKDL202006107-1a-AK9781-AK32_HJVFCDSXY_L1_2.fq.gz	
NCT_1	NCT_1	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_phyloGWAS_APF_gDNA/NCT_1_S1_L001_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_phyloGWAS_APF_gDNA/NCT_1_S1_L001_R2_001.fastq.gz	
NCT_1	NCT_1	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN02/NCT_1_S106_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN02/NCT_1_S106_R2_001.fastq.gz	
NCT_1	NCT_1	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT_1/NCT_1_DKDL202006109-1a-AK9804-AK33784_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT_1/NCT_1_DKDL202006109-1a-AK9804-AK33784_HJVFCDSXY_L1_2.fq.gz	
NCT_1	NCT_1	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT_1/NCT_1_DKDL202006109-1a-AK9804-AK33784_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT_1/NCT_1_DKDL202006109-1a-AK9804-AK33784_HJVFCDSXY_L1_2.fq.gz	
