sample	project	species	library	run	read2_uri	read1_uri	interleaved_uri
AY_01	RRG		AY_01_S1_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_01_S1_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_01_S1_L002_R1_001.fastq.gz	
AY_01	RRG		AY_01_S1_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_01_S1_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_01_S1_L001_R1_001.fastq.gz	
AY_02	RRG		AY_02_S2_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_02_S2_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_02_S2_L002_R1_001.fastq.gz	
AY_02	RRG		AY_02_S2_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_02_S2_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_02_S2_L001_R1_001.fastq.gz	
AY_03	RRG		AY_03_S3_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_03_S3_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_03_S3_L002_R1_001.fastq.gz	
AY_03	RRG		AY_03_S3_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_03_S3_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_03_S3_L001_R1_001.fastq.gz	
AY_04	RRG		AY_04_S4_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_04_S4_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_04_S4_L001_R1_001.fastq.gz	
AY_04	RRG		AY_04_S4_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_04_S4_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_04_S4_L002_R1_001.fastq.gz	
AY_05	RRG		AY_05_S5_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_05_S5_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_05_S5_L001_R1_001.fastq.gz	
AY_05	RRG		AY_05_S5_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_05_S5_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_05_S5_L002_R1_001.fastq.gz	
AY_06	RRG		AY_06_S6_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_06_S6_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_06_S6_L002_R1_001.fastq.gz	
AY_06	RRG		AY_06_S6_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_06_S6_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_06_S6_L001_R1_001.fastq.gz	
AY_07	RRG		AY_07_S7_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_07_S7_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_07_S7_L001_R1_001.fastq.gz	
AY_07	RRG		AY_07_S7_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_07_S7_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_07_S7_L002_R1_001.fastq.gz	
AY_08	RRG		AY_08_S8_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_08_S8_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_08_S8_L001_R1_001.fastq.gz	
AY_08	RRG		AY_08_S8_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_08_S8_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_08_S8_L002_R1_001.fastq.gz	
